LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
635,1,1,SOURCE,VARCHAR2
635,1,2,MEMBERID,VARCHAR2
635,1,3,COMPANY_ID,VARCHAR2
635,1,4,CLAIMNUMBER,VARCHAR2
635,1,5,CLAIMLINENUMBER,VARCHAR2
635,1,6,CLAIMTYPECODE,VARCHAR2
635,1,7,CLAIMTYPEDESC,VARCHAR2
635,1,8,PLANTYPECODE,VARCHAR2
635,1,9,PLANTYPEDESC,VARCHAR2
635,1,10,PCPTYPECODE,VARCHAR2
635,1,11,PCPTYPEDESC,VARCHAR2
635,1,12,UNITID,VARCHAR2
635,1,13,PCPID,VARCHAR2
635,1,14,PCPNAME,VARCHAR2
635,1,15,MEDSUBSCRIBERID,VARCHAR2
635,1,16,MEDMEMBERID,VARCHAR2
635,1,17,MEDDEPSEQCODE,VARCHAR2
635,1,18,MEDDEPSEQDESC,VARCHAR2
635,1,19,MEDMEMBERGENDER,VARCHAR2
635,1,20,MEDMEMBERDOB,DATE
635,1,21,PROVIDERID,VARCHAR2
635,1,22,PROVIDERNAME,VARCHAR2
635,1,23,SPECIALTYCODE,VARCHAR2
635,1,24,SPECIALTYDESC,VARCHAR2
635,1,25,NETWORKCODE,VARCHAR2
635,1,26,NETWORKDESC,VARCHAR2
635,1,27,NETWORKFLAG,VARCHAR2
635,1,28,OUTOFAREAFLAG,VARCHAR2
635,1,29,PLACEOFSERVCODE,VARCHAR2
635,1,30,PLACEOFSERVDESC,VARCHAR2
635,1,31,DRG,VARCHAR2
635,1,32,CPT,VARCHAR2
635,1,33,HCPC,VARCHAR2
635,1,34,REVCODE,VARCHAR2
635,1,35,MODIFIERCODE,VARCHAR2
635,1,36,DIAG,VARCHAR2
635,1,37,DIAGREFNUM,VARCHAR2
635,1,38,DIAGDESC,VARCHAR2
635,1,39,SERVICEDATE,DATE
635,1,40,FROMDATE,DATE
635,1,41,TODATE,DATE
635,1,42,CLAIMPAIDDATE,DATE
635,1,43,SERVICEUNITQUANTITY,NUMBER
635,1,44,GROSSAMOUNT,NUMBER
635,1,45,BILLEDAMOUNT,NUMBER
635,1,46,ALLOWEDAMOUNT,NUMBER
635,1,47,NOTALLOWEDAMOUNT,NUMBER
635,1,48,COPAYAMOUNT,NUMBER
635,1,49,DEDUCTIBLEAMOUNT,NUMBER
635,1,50,PPOSAVINGSAMOUNT,NUMBER
635,1,51,COINSURANCEAMOUNT,NUMBER
635,1,52,COBAMOUNT,NUMBER
635,1,53,PAIDAMOUNT,NUMBER
635,1,54,ADJUDICATIONFLAG,VARCHAR2
635,1,55,PROVIDERCITY,VARCHAR2
635,1,56,PROVIDERSTATE,VARCHAR2
635,1,57,PROVIDERZIPCODE,VARCHAR2
635,1,58,INLOADED,DATE
635,1,59,DISCHARGESTATUS,VARCHAR2
635,1,60,DX1,VARCHAR2
635,1,61,DX2,VARCHAR2
635,1,62,DX3,VARCHAR2
635,1,63,DX4,VARCHAR2
635,1,64,DX5,VARCHAR2
635,1,65,DX6,VARCHAR2
635,1,66,DX7,VARCHAR2
635,1,67,DX8,VARCHAR2
635,1,68,DX9,VARCHAR2
635,1,69,DX10,VARCHAR2
635,1,70,HIPPS,VARCHAR2
635,1,71,PROVNPI,VARCHAR2
