LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
1996,1,86,Disalw_TypeRW_DTL,VARCHAR2
1996,1,87,Disalw_Amt_RiskWithhold_DTL,NUMBER
1996,1,88,ExpCode_RiskWithholdDisalw_DTL,VARCHAR2
1996,1,89,Disalw_TypeSD_DTL,VARCHAR2
1996,1,90,Disalw_Amt_SMDAY_Surg_DTL,VARCHAR2
1996,1,91,ExpCode_SMDAY_SurgDisalw_DTL,VARCHAR2
1996,1,92,Disalw_TypeSE_DTL,VARCHAR2
1996,1,93,Disalw_Amt_Service_DTL,VARCHAR2
1996,1,94,ExpCode_ServiceDisalw_DTL,VARCHAR2
1996,1,95,Disalw_TypeSP_DTL,VARCHAR2
1996,1,96,Disalw_Amt_Supp_Disc_DTL,VARCHAR2
1996,1,97,ExpCode_Supp_DiscDisalw_DTL,VARCHAR2
1996,1,98,Disalw_TypeUM_DTL,VARCHAR2
1996,1,99,Disalw_Amt_UTLMGMT_DTL,VARCHAR2
1996,1,100,ExpCode_UTLMGMT_Disalw_DTL,VARCHAR2
1996,1,102,LI_SeqNum_DTL,VARCHAR2
1996,1,103,LI_ExternalCLMSeqNum_DTL,VARCHAR2
1996,1,104,LI_1stAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,105,LI_2ndAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,106,LI_3rdAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,107,LI_4thAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,108,LI_5thAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,109,LI_6thAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,110,LI_7thAdditionalIDCDPTR_DTL,VARCHAR2
1996,1,111,LI_UnitsBilled_DTL,VARCHAR2
1996,1,112,LI_UnitsAllowed_DTL,VARCHAR2
1996,1,113,DIAGCode2_DTL,VARCHAR2
1996,1,116,FIELD116_DTL,VARCHAR2
1996,1,1,RecordType_DTL,VARCHAR2
1996,1,2,CLMId_DTL,VARCHAR2
1996,1,4,CLMPaidDate_DTL,DATE
1996,1,5,Lineofbusiness_DTL,VARCHAR2
1996,1,6,RevenueCode_DTL,VARCHAR2
1996,1,7,ServicePricingId_DTL,VARCHAR2
1996,1,8,TypeofServiceCode_DTL,VARCHAR2
1996,1,9,POSCode_DTL,VARCHAR2
1996,1,10,ProcCode_DTL,VARCHAR2
1996,1,11,ProcCodeModifier1_DTL,VARCHAR2
1996,1,12,ProcCodeModifier2_DTL,VARCHAR2
1996,1,13,ProcCodeModifier3_DTL,VARCHAR2
1996,1,14,ProcCodeModifier4_DTL,VARCHAR2
1996,1,15,DIAGCode1_DTL,VARCHAR2
1996,1,16,DateofServiceFromDate_DTL,DATE
1996,1,17,DateofServiceToDate_DTL,DATE
1996,1,18,RoomType_DTL,VARCHAR2
1996,1,19,LI_ChargeAmt_DTL,VARCHAR2
1996,1,20,AnesthesiaPhy_stsmodifier_DTL,VARCHAR2
1996,1,21,LI_HCPCSAmt_DTL,NUMBER
1996,1,22,LI_ConsideredCharge_DTL,VARCHAR2
1996,1,23,LI_AllowedAmt_DTL,NUMBER
1996,1,26,LI_DeductibleAmt_DTL,NUMBER
1996,1,27,LI_Co_PayAmt_DTL,NUMBER
1996,1,28,LI_Co_InsuranceAmt_DTL,NUMBER
1996,1,29,LI_RiskWithholdAmt_DTL,NUMBER
1996,1,30,LI_AmtPaid_DTL,NUMBER
1996,1,31,LI_TtlDisalw_Amt_DTL,NUMBER
1996,1,32,LI_TtlDisalw_AmtExpCode_DTL,VARCHAR2
1996,1,33,LI_DiscAmt_DTL,NUMBER
1996,1,34,LI_Supp_DiscAmt_DTL,NUMBER
1996,1,35,LI_ITSDiscAmt_DTL,NUMBER
1996,1,36,LI_NetworkInd_DTL,VARCHAR2
1996,1,37,LI_ReferredInd_DTL,VARCHAR2
1996,1,38,LI_CapitationInd_DTL,VARCHAR2
1996,1,39,LI_Pre_AuthInd_DTL,VARCHAR2
1996,1,40,LI_AmtPaidtoSub_DTL,NUMBER
1996,1,41,LI_AmtPaidtoProv_DTL,NUMBER
1996,1,42,LI_AmtPrePaidtoProv_DTL,NUMBER
1996,1,43,Servicereportingcategory_DTL,VARCHAR2
1996,1,44,Experiencecategory_DTL,VARCHAR2
