LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
3332,1,6,PCP_ID,VARCHAR2
3332,1,10,MEDICARE_ID,VARCHAR2
3332,1,15,PLAN_NAME,VARCHAR2
3332,1,20,CLAIM_TYPE,VARCHAR2
3332,1,25,PROVIDER_ID,VARCHAR2
3332,1,30,PRACTITIONER_SPEC,VARCHAR2
3332,1,35,COPAYMENT,NUMBER
3332,1,40,SERVICE_MODIFIER_LIST,VARCHAR2
3332,1,45,UNITS,NUMBER
3332,1,49,BETOS_DESC,VARCHAR2
3332,1,1,PAYER_ID,VARCHAR2
3332,1,2,IPA_ID,VARCHAR2
3332,1,3,IPA_NAME,VARCHAR2
3332,1,4,PCP_GROUP_ID,VARCHAR2
3332,1,5,GROUP_NAME,VARCHAR2
3332,1,7,PCP_NAME,VARCHAR2
3332,1,8,COUNTY,VARCHAR2
3332,1,9,SUBSCRIBER_ID,VARCHAR2
3332,1,11,MEMBER_NAME,VARCHAR2
3332,1,12,BIRTH_DATE,DATE
3332,1,13,GENDER,VARCHAR2
3332,1,14,PBP,VARCHAR2
3332,1,16,CLAIM_ID,VARCHAR2
3332,1,17,RECEIVE_TIME,DATE
3332,1,18,AUTHORIZATION_NUMBER,VARCHAR2
3332,1,19,FORM_TYPE,VARCHAR2
3332,1,21,CLINIC_FACILITY_ID,VARCHAR2
3332,1,22,CLINIC_FACILITY_NAME,VARCHAR2
3332,1,23,CLINIC_FACILITY_TYPE,VARCHAR2
3332,1,24,FIRST_SERVICE_DATE,DATE
3332,1,26,PROVIDER_NAME,VARCHAR2
3332,1,27,IN_NETWORK_FLAG,VARCHAR2
3332,1,28,PRACTITIONER_ID,VARCHAR2
3332,1,29,PRACTITIONER_NAME,VARCHAR2
3332,1,31,LINE_NUMBER,VARCHAR2
3332,1,32,PAID_AMOUNT,NUMBER
3332,1,33,ALLOWED_AMOUNT,NUMBER
3332,1,34,COINSURANCE,NUMBER
3332,1,36,CORRECTION_LEVEL,VARCHAR2
3332,1,37,TOTAL_CHARGES,NUMBER
3332,1,38,SERVICE_CODE,VARCHAR2
3332,1,39,SERVICE_CODE_DESC,VARCHAR2
3332,1,41,LOCATION_CODE,VARCHAR2
3332,1,42,LOCATION_DESC,VARCHAR2
3332,1,43,DIAGNOSIS_CODE_LIST,VARCHAR2
3332,1,44,UNIT_TYPE,VARCHAR2
3332,1,46,CHECK_DATE,DATE
3332,1,47,BETOS_GROUP,VARCHAR2
3332,1,48,BETOS_CAT,VARCHAR2
