LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1320,1,1,CLM_ID,VARCHAR2,,200,95453,1,200,,,,,VARCHAR2,,
1320,1,2,CLM_LN,VARCHAR2,,200,95454,201,400,,,,,VARCHAR2,,
1320,1,3,DT_OF_SVC,DATE,YYYYMMDD,200,95455,401,600,,,,,DATE,,
1320,1,4,POS,VARCHAR2,,200,95456,601,800,,,,,VARCHAR2,,
1320,1,5,PROC_CD,VARCHAR2,,200,95457,801,1000,,,,,VARCHAR2,,
1320,1,6,MOD_1,VARCHAR2,,200,95458,1001,1200,,,,,VARCHAR2,,
1320,1,7,MOD_2,VARCHAR2,,200,95459,1201,1400,,,,,VARCHAR2,,
1320,1,8,MOD_3,VARCHAR2,,200,95460,1401,1600,,,,,VARCHAR2,,
1320,1,9,MOD_4,VARCHAR2,,200,95461,1601,1800,,,,,VARCHAR2,,
1320,1,10,DIAG_CD,VARCHAR2,,200,95462,1801,2000,,,,,VARCHAR2,,
1320,1,11,UNIT,NUMBER,,200,95463,2001,2200,,,,,NUMBER,,
1320,1,12,TOT_CHRG,NUMBER,,200,95464,2201,2400,,,,,NUMBER,,
1320,1,13,PROV_NPI,VARCHAR2,,200,95465,2401,2600,,,,,VARCHAR2,,
