LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
2822,1,52,NETWORK,VARCHAR2,,8,215420,647,654,,,,,VARCHAR2,,
2822,1,53,REVENUE,VARCHAR2,,9,215421,655,663,,,,,VARCHAR2,,
2822,1,54,FACPROC,VARCHAR2,,10,215422,664,673,,,,,VARCHAR2,,
2822,1,55,REVSEQ,VARCHAR2,,11,215423,674,684,,,,,VARCHAR2,,
2822,1,56,CHARGERV,NUMBER,,19,215424,685,703,,,,,NUMBER,,
2822,1,57,LINENBR,VARCHAR2,,11,215425,704,714,,,,,VARCHAR2,,
2822,1,58,DATECHANGED,DATE,YYYYMMDD,8,215426,715,722,,,,,DATE,,
2822,1,1,PATSEX,VARCHAR2,,6,215369,1,6,,,,,VARCHAR2,,
2822,1,2,PATREL,VARCHAR2,,7,215370,7,13,,,,,VARCHAR2,,
2822,1,3,SSNNBR,VARCHAR2,,18,215371,14,31,,,,,VARCHAR2,,
2822,1,4,GRPMAIN,VARCHAR2,,11,215372,32,42,,,,,VARCHAR2,,
2822,1,5,GRPSUBGP,VARCHAR2,,8,215373,43,50,,,,,VARCHAR2,,
2822,1,6,CLMNBR,VARCHAR2,,26,215374,51,76,,,,,VARCHAR2,,
2822,1,7,DIAGCDEL,VARCHAR2,,10,215375,77,86,,,,,VARCHAR2,,
2822,1,8,PROCCODE,VARCHAR2,,10,215376,87,96,,,,,VARCHAR2,,
2822,1,9,PROCSRG1,VARCHAR2,,10,215377,97,106,,,,,VARCHAR2,,
2822,1,10,CONTSPCT,VARCHAR2,,7,215378,107,113,,,,,VARCHAR2,,
2822,1,11,TYPESVC,VARCHAR2,,8,215379,114,121,,,,,VARCHAR2,,
2822,1,12,PLACESVC,VARCHAR2,,7,215380,122,128,,,,,VARCHAR2,,
2822,1,13,FRSTDATE,DATE,YYYYMMDD,8,215381,129,136,,,,,DATE,,
2822,1,14,LASTDATE,DATE,YYYYMMDD,8,215382,137,144,,,,,DATE,,
2822,1,15,CHARGESV,NUMBER,,19,215383,145,163,,,,,NUMBER,,
2822,1,16,OISCAMT,NUMBER,,19,215384,164,182,,,,,NUMBER,,
2822,1,17,DEDUCTLN,NUMBER,,19,215385,183,201,,,,,NUMBER,,
2822,1,18,COPAYLN,NUMBER,,19,215386,202,220,,,,,NUMBER,,
2822,1,19,COINSLN,NUMBER,,19,215387,221,239,,,,,NUMBER,,
2822,1,20,MEMBER,VARCHAR2,,7,215388,240,246,,,,,VARCHAR2,,
2822,1,21,NBRSVCS,NUMBER,,19,215389,247,265,,,,,NUMBER,,
2822,1,22,PROCMOD1,VARCHAR2,,7,215390,266,272,,,,,VARCHAR2,,
2822,1,23,PROCMOD2,VARCHAR2,,7,215391,273,279,,,,,VARCHAR2,,
2822,1,24,PRCSMNTH,VARCHAR2,,11,215392,280,290,,,,,VARCHAR2,,
2822,1,25,TYPECARE,VARCHAR2,,8,215393,291,298,,,,,VARCHAR2,,
2822,1,26,DAYSSVC,NUMBER,,19,215394,299,317,,,,,NUMBER,,
2822,1,27,PLACECAR,VARCHAR2,,7,215395,318,324,,,,,VARCHAR2,,
2822,1,28,PRVBILL,VARCHAR2,,6,215396,325,330,,,,,VARCHAR2,,
2822,1,29,SOURCE,VARCHAR2,,6,215397,331,336,,,,,VARCHAR2,,
2822,1,30,PATLNAME,VARCHAR2,,25,215398,337,361,,,,,VARCHAR2,,
2822,1,31,PATFNAME,VARCHAR2,,15,215399,362,376,,,,,VARCHAR2,,
2822,1,32,SUBZIP,VARCHAR2,,10,215400,377,386,,,,,VARCHAR2,,
2822,1,33,PATDAT,DATE,YYYYMMDD,8,215401,387,394,,,,,DATE,,
2822,1,34,NAME,VARCHAR2,,70,215402,395,464,,,,,VARCHAR2,,
2822,1,35,TAXPROV,VARCHAR2,,14,215403,465,478,,,,,VARCHAR2,,
2822,1,36,CONZIP,VARCHAR2,,10,215404,479,488,,,,,VARCHAR2,,
2822,1,37,CONTSPC,VARCHAR2,,7,215405,489,495,,,,,VARCHAR2,,
2822,1,38,CONTPART,VARCHAR2,,6,215406,496,501,,,,,VARCHAR2,,
2822,1,39,DIAGCLSS,VARCHAR2,,7,215407,502,508,,,,,VARCHAR2,,
2822,1,40,COVERLN,NUMBER,,19,215408,509,527,,,,,NUMBER,,
2822,1,41,DIAGCDE1,VARCHAR2,,10,215409,528,537,,,,,VARCHAR2,,
2822,1,42,DIAGCDE2,VARCHAR2,,10,215410,538,547,,,,,VARCHAR2,,
2822,1,43,DIAGCDE3,VARCHAR2,,10,215411,548,557,,,,,VARCHAR2,,
2822,1,44,PROCSRG2,VARCHAR2,,10,215412,558,567,,,,,VARCHAR2,,
2822,1,45,PROCSRG3,VARCHAR2,,10,215413,568,577,,,,,VARCHAR2,,
2822,1,46,NETPAYLN,NUMBER,,19,215414,578,596,,,,,NUMBER,,
2822,1,47,SVCCODE,VARCHAR2,,8,215415,597,604,,,,,VARCHAR2,,
2822,1,48,SINGFAM,VARCHAR2,,7,215416,605,611,,,,,VARCHAR2,,
2822,1,49,RECDTE,DATE,YYYYMMDD,8,215417,612,619,,,,,DATE,,
2822,1,50,SAVINGS,NUMBER,,19,215418,620,638,,,,,NUMBER,,
2822,1,51,OICODE,VARCHAR2,,8,215419,639,646,,,,,VARCHAR2,,
