LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
2824,1,3,ContractNumberPrefix,VARCHAR2
2824,1,4,ContractNumberSuffix,VARCHAR2
2824,1,5,GroupNumber,VARCHAR2
2824,1,6,ContractNumberExt,VARCHAR2
2824,1,7,MajorDivision,VARCHAR2
2824,1,9,ContractEffectiveDate,DATE
2824,1,10,ContractCancelDate,DATE
2824,1,11,ContractCancelReason,VARCHAR2
2824,1,12,HealthTypeContract,VARCHAR2
2824,1,13,HealthVariationCode,VARCHAR2
2824,1,15,HealthTypContChangeEffDt,DATE
2824,1,16,DentalTypeContract,VARCHAR2
2824,1,17,DentalVarCode,VARCHAR2
2824,1,19,VisionTypeContract,VARCHAR2
2824,1,20,VisionVarCode,VARCHAR2
2824,1,22,MemEffectiveDate,DATE
2824,1,23,MemCancelDate,DATE
2824,1,24,MemRemovalCode,VARCHAR2
2824,1,25,MemNumber,VARCHAR2
2824,1,26,MemLastName,VARCHAR2
2824,1,27,MemFirstName,VARCHAR2
2824,1,28,MemMiddleInitial,VARCHAR2
2824,1,29,MemNameSuffix,VARCHAR2
2824,1,31,MemBirthDate,DATE
2824,1,32,MemSexRelation,VARCHAR2
2824,1,1,RecordType,VARCHAR2
2824,1,33,MemberSSN,VARCHAR2
2824,1,35,StudentIndicator,VARCHAR2
2824,1,36,MemOriginalEffDate,DATE
2824,1,38,MemMedicareEligIndicator,VARCHAR2
2824,1,39,MemMedicareNo,VARCHAR2
2824,1,40,MemMedicareSuffix,VARCHAR2
2824,1,42,Address1,VARCHAR2
2824,1,43,Address2,VARCHAR2
2824,1,44,City,VARCHAR2
2824,1,45,State,VARCHAR2
2824,1,46,ZipCode,VARCHAR2
2824,1,47,ZipCodeExt,VARCHAR2
2824,1,49,EmployeeNumber,VARCHAR2
2824,1,51,PayrollLocation,VARCHAR2
2824,1,52,MinorDivision,VARCHAR2
2824,1,53,PayrollOffice,VARCHAR2
2824,1,54,BenefitOffice,VARCHAR2
2824,1,55,WorkState,VARCHAR2
2824,1,57,COBRAIndicator,VARCHAR2
2824,1,58,COBRAExpirationDate,DATE
2824,1,60,GroupRepSubscriberID,VARCHAR2
2824,1,61,PlanAssignedNoSwitch,VARCHAR2
2824,1,63,RelatedContractNo,VARCHAR2
2824,1,65,BCBSALContractNo,VARCHAR2
2824,3,2,FILECREATIONDATE,DATE
2824,3,1,RECORDTYPE,VARCHAR2
2824,3,3,COMPNAMEIDENTIFIER,VARCHAR2
2824,3,4,FILEEFFDATE,DATE
2824,2,1,RecordType,VARCHAR2
2824,2,2,TotalRecords,NUMBER
2824,2,3,TotalEmployeeRec,NUMBER
2824,2,4,TotalMemberRec,NUMBER
2824,3,6,FILETERMDATE,DATE
2824,3,7,COMPC,VARCHAR2
2824,3,8,ELIGDATAASOFDATE,DATE
2824,3,9,FILETYPE,VARCHAR2
