LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
610,1,1,EE_SSN,VARCHAR2
610,1,2,DEP_SSN,VARCHAR2
610,1,3,LAST_NAME,VARCHAR2
610,1,4,FIRST_NAME,VARCHAR2
610,1,5,MI,VARCHAR2
610,1,6,REL,VARCHAR2
610,1,7,SEX,VARCHAR2
610,1,8,DOB,DATE
610,1,9,STREET_ADDR,VARCHAR2
610,1,10,ADDR_2,VARCHAR2
610,1,11,CITY,VARCHAR2
610,1,12,STATE,VARCHAR2
610,1,13,ZIP,VARCHAR2
610,1,14,Home_Phone,VARCHAR2
610,1,15,W_ID,VARCHAR2
610,1,16,Dep_W_ID,VARCHAR2
610,1,17,Seq,VARCHAR2
610,1,18,CONTROL,VARCHAR2
610,1,19,SUFFIX,VARCHAR2
610,1,20,ACCOUNT,VARCHAR2
610,1,21,PLAN1,VARCHAR2
610,1,22,EFF_DATE,DATE
610,1,23,Term_Date,DATE
