LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1356,1,1,SEQ_NR,VARCHAR2,NA,2,206832,1,2,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,2,GRP_NR,VARCHAR2,NA,7,206833,3,9,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,3,DIV,VARCHAR2,NA,3,206834,10,12,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,4,TYP_BUS,VARCHAR2,NA,1,206835,13,13,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,5,CNTRCT_PFX,VARCHAR2,NA,3,206836,14,16,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,6,CNTRCT_NR,VARCHAR2,NA,9,206837,17,25,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,8,CLM_NR,VARCHAR2,NA,7,206839,31,37,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,9,CLM_PLAN_CD,VARCHAR2,NA,3,206840,38,40,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,10,LN_NR,VARCHAR2,NA,3,206841,41,43,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,11,DISP,VARCHAR2,NA,1,206842,44,44,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,12,PD_DT,Date,MMDDYYYY,8,206843,45,52,Prabesh Shrestha,,,,DATE,,
1356,1,13,ICURD_DT,Date,MMDDYYYY,8,206844,53,60,Prabesh Shrestha,,,,DATE,,57
1356,1,14,ADJMT_RSN,VARCHAR2,NA,2,206845,61,62,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,15,AGNCY_CD,VARCHAR2,NA,2,206846,63,64,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,16,AUTH_NR,VARCHAR2,NA,18,206847,65,82,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,17,AWP_UNIT_PRC,Number,NA,14,206848,83,96,Prabesh Shrestha,,,,NUMBER,,
1356,1,18,BCBSAL_SCNDY_SW,VARCHAR2,NA,1,206849,97,97,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,19,BEN_OFC,VARCHAR2,NA,2,206850,98,99,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,20,CMPD_SW,VARCHAR2,NA,1,206851,100,100,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,21,CO_PAY_AMT,Number,NA,8,206852,101,108,Prabesh Shrestha,,,,NUMBER,,
1356,1,22,COB_MTHD_CD,VARCHAR2,NA,2,206853,109,110,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,23,COVG_CD,VARCHAR2,NA,3,206854,111,113,Prabesh Shrestha,,,,VARCHAR2,,
1356,1,24,CST_NR_SVC_UNITS,Number,NA,12,206855,114,125,Prabesh Shrestha,,,,NUMBER,,
1356,1,25,DAW_IND,VARCHAR2,NA,1,206856,126,126,Prabesh Shrestha,,,,VARCHAR2,,
