ID,SubLayout,Subtype,FieldName,DataType
29,1,1,CUSTOMERSTRUCTURE1,VARCHAR2
29,1,2,EMPLOYEENUMBER,VARCHAR2
29,1,3,RELATIONSHIP,VARCHAR2
29,1,4,LASTNAME,VARCHAR2
29,1,5,FIRSTNAME,VARCHAR2
29,1,6,BIRTHDATE,DATE
29,1,7,SEX,VARCHAR2
29,1,8,STREETADDRESS,VARCHAR2
29,1,9,CITY,VARCHAR2
29,1,10,STATE,VARCHAR2
29,1,11,ZIPCODE,VARCHAR2
29,1,12,CUSTOMERSTRUCTURE6,VARCHAR2
29,1,13,PRODUCTCODE,VARCHAR2
29,1,14,CUSTOMERSTRUCTURE3,VARCHAR2
29,1,15,COVERAGETYPE,VARCHAR2
29,1,16,COVERAGESTARTDATE,DATE
29,1,17,COVERAGESTOPDATE,DATE
29,1,18,CUSTOMERSTRUCTURE2,VARCHAR2
29,1,19,CUSTOMERSTRUCTURE4,VARCHAR2
29,1,20,CUSTOMERSTRUCTURE5,VARCHAR2
29,1,21,STATUSCODE,VARCHAR2
