LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
351,1,297,USUALNCUST,NUMBER,,11,25810,2425,2435,Sagar Sharma,,,,NUMBER,,
351,1,298,DENIALDTE,DATE,YYYYMMDD,8,25811,2436,2443,Sagar Sharma,,,,DATE,,
351,1,299,OTHRPAYOR,NUMBER,,11,25812,2444,2454,Sagar Sharma,,,,NUMBER,,
351,1,300,SBMMDPDAMT,NUMBER,,11,25813,2455,2465,Sagar Sharma,,,,NUMBER,,
351,1,301,CALINGRCST,NUMBER,,11,25814,2466,2476,Sagar Sharma,,,,NUMBER,,
351,1,302,CALDISPFEE,NUMBER,,11,25815,2477,2487,Sagar Sharma,,,,NUMBER,,
351,1,303,CALPSTAX,NUMBER,,11,25816,2488,2498,Sagar Sharma,,,,NUMBER,,
351,1,304,CALFSTAX,NUMBER,,11,25817,2499,2509,Sagar Sharma,,,,NUMBER,,
351,1,305,CALSLSTAX,NUMBER,,11,25818,2510,2520,Sagar Sharma,,,,NUMBER,,
351,1,306,CALPATPAY,NUMBER,,11,25819,2521,2531,Sagar Sharma,,,,NUMBER,,
351,1,307,CALDUEAMT,NUMBER,,11,25820,2532,2542,Sagar Sharma,,,,NUMBER,,
351,1,308,CALWITHHLD,NUMBER,,11,25821,2543,2553,Sagar Sharma,,,,NUMBER,,
351,1,309,CALFCOPAY,NUMBER,,11,25822,2554,2564,Sagar Sharma,,,,NUMBER,,
351,1,310,CALPCOPAY,NUMBER,,11,25823,2565,2575,Sagar Sharma,,,,NUMBER,,
351,1,311,CALCOPAY,NUMBER,,11,25824,2576,2586,Sagar Sharma,,,,NUMBER,,
351,1,313,CALATRTAX,NUMBER,,11,25826,2598,2608,Sagar Sharma,,,,NUMBER,,
351,1,314,CALEXCEBFT,NUMBER,,11,25827,2609,2619,Sagar Sharma,,,,NUMBER,,
351,1,315,CALINCENTV,NUMBER,,11,25828,2620,2630,Sagar Sharma,,,,NUMBER,,
351,1,316,CALATRDED,NUMBER,,11,25829,2631,2641,Sagar Sharma,,,,NUMBER,,
351,1,318,CALTOTHAMT,NUMBER,,11,25831,2653,2663,Sagar Sharma,,,,NUMBER,,
351,1,319,CALPROFFEE,NUMBER,,11,25832,2664,2674,Sagar Sharma,,,,NUMBER,,
351,1,320,CALOTHPAYA,NUMBER,,11,25833,2675,2685,Sagar Sharma,,,,NUMBER,,
351,1,321,CALCOSTSRC,VARCHAR2,,1,25834,2686,2686,Sagar Sharma,,,,VARCHAR2,,
351,1,323,CALPROCFEE,NUMBER,,11,25836,2698,2708,Sagar Sharma,,,,NUMBER,,
351,1,324,CALPATSTAX,NUMBER,,11,25837,2709,2719,Sagar Sharma,,,,NUMBER,,
351,1,325,CALPLNSTAX,NUMBER,,11,25838,2720,2730,Sagar Sharma,,,,NUMBER,,
351,1,326,CALPRVNSEL,NUMBER,,11,25839,2731,2741,Sagar Sharma,,,,NUMBER,,
351,1,327,CALPSCBRND,NUMBER,,11,25840,2742,2752,Sagar Sharma,,,,NUMBER,,
351,1,328,CALPSCNONP,NUMBER,,11,25841,2753,2763,Sagar Sharma,,,,NUMBER,,
351,1,329,CALPSCBRNP,NUMBER,,11,25842,2764,2774,Sagar Sharma,,,,NUMBER,,
351,1,295,SBMOPAMTCT,NUMBER,,1,25808,2422,2422,Sagar Sharma,,,,NUMBER,,
351,1,331,CALINGCSTC,NUMBER,,11,25844,2786,2796,Sagar Sharma,,,,NUMBER,,
351,1,332,CALDSPFEEC,NUMBER,,11,25845,2797,2807,Sagar Sharma,,,,NUMBER,,
351,1,333,PHRINGRCST,NUMBER,,11,25846,2808,2818,Sagar Sharma,,,,NUMBER,,
351,1,334,PHRDISPFEE,NUMBER,,11,25847,2819,2829,Sagar Sharma,,,,NUMBER,,
351,1,336,PHRFSTAX,NUMBER,,11,25849,2841,2851,Sagar Sharma,,,,NUMBER,,
351,1,337,PHRSLSTAX,NUMBER,,11,25850,2852,2862,Sagar Sharma,,,,NUMBER,,
351,1,338,PHRPATPAY,NUMBER,,11,25851,2863,2873,Sagar Sharma,,,,NUMBER,,
351,1,339,PHRDUEAMT,NUMBER,,11,25852,2874,2884,Sagar Sharma,,,,NUMBER,,
351,1,341,PHRPPRCS,VARCHAR2,,10,25854,2896,2905,Sagar Sharma,,,,VARCHAR2,,
351,1,342,PHRPRCST,VARCHAR2,,10,25855,2906,2915,Sagar Sharma,,,,VARCHAR2,,
351,1,343,PHRPTPS,VARCHAR2,,10,25856,2916,2925,Sagar Sharma,,,,VARCHAR2,,
351,1,344,PHRPTPST,VARCHAR2,,13,25857,2926,2938,Sagar Sharma,,,,VARCHAR2,,
351,1,346,PHRCOPAYSS,NUMBER,,2,25859,2949,2950,Sagar Sharma,,,,NUMBER,,
351,1,347,PHRFCOPAY,NUMBER,,11,25860,2951,2961,Sagar Sharma,,,,NUMBER,,
351,1,348,PHRPCOPAY,NUMBER,,11,25861,2962,2972,Sagar Sharma,,,,NUMBER,,
351,1,349,PHRCOPAY,NUMBER,,11,25862,2973,2983,Sagar Sharma,,,,NUMBER,,
351,1,350,PHRPRODSEL,NUMBER,,11,25863,2984,2994,Sagar Sharma,,,,NUMBER,,
351,1,352,PHREXCEBFT,NUMBER,,11,25865,3006,3016,Sagar Sharma,,,,NUMBER,,
351,1,353,PHRINCENTV,NUMBER,,11,25866,3017,3027,Sagar Sharma,,,,NUMBER,,
351,1,354,PHRATRDED,NUMBER,,11,25867,3028,3038,Sagar Sharma,,,,NUMBER,,
351,1,355,PHRCOB,NUMBER,,11,25868,3039,3049,Sagar Sharma,,,,NUMBER,,
351,1,357,PHRPROFFEE,NUMBER,,11,25870,3061,3071,Sagar Sharma,,,,NUMBER,,
351,1,358,PHROTHPAYA,NUMBER,,11,25871,3072,3082,Sagar Sharma,,,,NUMBER,,
351,1,359,PHRCOSTSRC,VARCHAR2,,1,25872,3083,3083,Sagar Sharma,,,,VARCHAR2,,
351,1,360,PHRCOSTTYP,VARCHAR2,,10,25873,3084,3093,Sagar Sharma,,,,VARCHAR2,,
351,1,362,PHRRATE,NUMBER,,8,25875,3104,3111,Sagar Sharma,,,,NUMBER,,
351,1,363,PHRPROCFEE,NUMBER,,11,25876,3112,3122,Sagar Sharma,,,,NUMBER,,
351,1,364,PHRPATSTAX,NUMBER,,11,25877,3123,3133,Sagar Sharma,,,,NUMBER,,
351,1,365,PHRPLNSTAX,NUMBER,,11,25878,3134,3144,Sagar Sharma,,,,NUMBER,,
351,1,366,PHRPRVNSEL,NUMBER,,11,25879,3145,3155,Sagar Sharma,,,,NUMBER,,
351,1,368,PHRPSCNONP,NUMBER,,11,25881,3167,3177,Sagar Sharma,,,,NUMBER,,
351,1,369,PHRPSCBRNP,NUMBER,,11,25882,3178,3188,Sagar Sharma,,,,NUMBER,,
351,1,370,PHRCOVGAP,NUMBER,,11,25883,3189,3199,Sagar Sharma,,,,NUMBER,,
351,1,371,PHRINGCSTC,NUMBER,,11,25884,3200,3210,Sagar Sharma,,,,NUMBER,,
351,1,373,POSINGRCST,NUMBER,,11,25886,3222,3232,Sagar Sharma,,,,NUMBER,,
