LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
738,1,1,ClaimNumber,VARCHAR2
738,1,2,ClaimLineNumber,VARCHAR2
738,1,3,RxNumber,VARCHAR2
738,1,4,NCPDPNumber,VARCHAR2
738,1,5,PlanTypeCode,VARCHAR2
738,1,6,PlanTypeDesc,VARCHAR2
738,1,7,PayerID,VARCHAR2
738,1,8,PayerDesc,VARCHAR2
738,1,9,CaseID,VARCHAR2
738,1,10,CaseDesc,VARCHAR2
738,1,11,UnitID,VARCHAR2
738,1,12,UnitDesc,VARCHAR2
738,1,13,RxSubscriberID,VARCHAR2
738,1,14,RxMemberID,VARCHAR2
738,1,15,RxDepSeqCode,VARCHAR2
738,1,16,RxDepSeqDesc,VARCHAR2
738,1,17,RxMemberGender,VARCHAR2
738,1,18,RxMemberDOB,DATE
738,1,19,NDCCode,VARCHAR2
738,1,20,NDCDesc,VARCHAR2
738,1,21,DEANumber,VARCHAR2
738,1,22,DEAName,VARCHAR2
738,1,23,QuantityDispensed,VARCHAR2
738,1,24,DaysSupplied,VARCHAR2
738,1,25,GenBrandInd,VARCHAR2
738,1,26,MailOrderFlag,VARCHAR2
738,1,28,FillDate,DATE
738,1,29,PaidDate,DATE
738,1,30,GrossAmount,NUMBER
738,1,31,BilledAmount,NUMBER
738,1,32,CopayAmount,NUMBER
738,1,33,DeductibleAmount,NUMBER
738,1,34,NotAllowedAmount,NUMBER
738,1,35,AWP,NUMBER
738,1,36,DispensingCost,NUMBER
738,1,37,SalesTax,NUMBER
738,1,38,AdminFees,NUMBER
738,1,39,IngredientCost,NUMBER
738,1,40,PaidAmount,NUMBER
738,1,41,AdjudicationFlag,VARCHAR2
738,1,42,CarrierNumber,VARCHAR2
738,1,43,CarrierName,VARCHAR2
