LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1661,1,1,CLIENT_ID,VARCHAR2,,55,118024,1,55,Anurag Pradhan,,,,VARCHAR2,,
1661,1,2,DIVISION_ID,VARCHAR2,,55,118025,56,110,Anurag Pradhan,,,,VARCHAR2,,
1661,1,3,CLAIM,VARCHAR2,,55,118026,111,165,Anurag Pradhan,,,,VARCHAR2,,
1661,1,4,CLAIM_LINE_NUMBER,VARCHAR2,,55,118027,166,220,Anurag Pradhan,,,,VARCHAR2,,
1661,1,5,CPT_CODE,VARCHAR2,,55,118028,221,275,Anurag Pradhan,,,,VARCHAR2,,
1661,1,6,BATCH_LOCATOR,VARCHAR2,,55,118029,276,330,Anurag Pradhan,,,,VARCHAR2,,
1661,1,7,MEMBER_ID,VARCHAR2,,55,118030,331,385,Anurag Pradhan,,,,VARCHAR2,,
1661,1,8,MEMBER_NAME,VARCHAR2,,55,118031,386,440,Anurag Pradhan,,,,VARCHAR2,,
1661,1,9,PATIENT_NAME,VARCHAR2,,55,118032,441,495,Anurag Pradhan,,,,VARCHAR2,,
1661,1,10,RELATION,VARCHAR2,,55,118033,496,550,Anurag Pradhan,,,,VARCHAR2,,
1661,1,11,GROSS_CLAIM_AMOUNT,NUMBER,,19,118034,551,569,Anurag Pradhan,,,,NUMBER,,
1661,1,12,COPAY_AMOUNT,NUMBER,,19,118035,570,588,Anurag Pradhan,,,,NUMBER,,
1661,1,13,NET_CLAIM_AMOUNT,NUMBER,,19,118036,589,607,Anurag Pradhan,,,,NUMBER,,
1661,1,14,DOCTOR_STATE,VARCHAR2,,55,118037,608,662,Anurag Pradhan,,,,VARCHAR2,,
1661,1,15,EXAM_IND,VARCHAR2,,55,118038,663,717,Anurag Pradhan,,,,VARCHAR2,,
1661,1,16,LENS_DESC,VARCHAR2,,55,118039,718,772,Anurag Pradhan,,,,VARCHAR2,,
1661,1,17,FRAME_IND,VARCHAR2,,55,118040,773,827,Anurag Pradhan,,,,VARCHAR2,,
1661,1,18,DATE_OF_SERVICE,DATE,MM/DD/YYYY,10,118041,828,837,Anurag Pradhan,,,,DATE,,
1661,2,1,CLIENT_ID,VARCHAR2,,50,118042,1,50,Anurag Pradhan,,,,VARCHAR2,,
1661,2,2,NUMBER_OF_ROWS,VARCHAR2,,50,118043,51,100,Anurag Pradhan,,,,VARCHAR2,,
1661,2,3,TOTAL_GROSS_CLAIM_AMOUNT,VARCHAR2,,50,118044,101,150,Anurag Pradhan,,,,VARCHAR2,,
1661,2,4,TOTAL_COPAY_AMOUNT,VARCHAR2,,50,118045,151,200,Anurag Pradhan,,,,VARCHAR2,,
1661,2,5,TOTAL_NET_CLAIM_AMOUNT,VARCHAR2,,50,118046,201,250,Anurag Pradhan,,,,VARCHAR2,,
1661,1,19,PROVDER_TYPE,VARCHAR2,,1,277889,838,839,Anurag Pradhan,,,,VARCHAR2,,
