LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1263,1,1,Claim_ID,VARCHAR2,,15,91539,1,15,,,,,VARCHAR2,,
1263,1,2,Claim_Type,VARCHAR2,,10,91540,16,25,,,,,VARCHAR2,,
1263,1,3,Charge_Number,VARCHAR2,,15,91541,26,40,,,,,VARCHAR2,,
1263,1,4,EEID,VARCHAR2,,15,91542,41,55,,,,,VARCHAR2,,
1263,1,5,Dep_ID,VARCHAR2,,15,91543,56,70,,,,,VARCHAR2,,
1263,1,6,Plan_Code,VARCHAR2,,15,91544,71,85,,,,,VARCHAR2,,
1263,1,7,not_used,VARCHAR2,,55,91545,86,140,,,,,VARCHAR2,,
1263,1,8,Group_Number,VARCHAR2,,15,91546,141,155,,,,,VARCHAR2,,
1263,1,9,Group_Name,VARCHAR2,,75,91547,156,230,,,,,VARCHAR2,,
1263,1,10,Group_Div_Number,VARCHAR2,,15,91548,231,245,,,,,VARCHAR2,,
1263,1,11,Division_Name,VARCHAR2,,75,91549,246,320,,,,,VARCHAR2,,
1263,1,12,BC_Code,VARCHAR2,,15,91550,321,335,,,,,VARCHAR2,,
1263,1,13,BC_Description,VARCHAR2,,75,91551,336,410,,,,,VARCHAR2,,
1263,1,14,Provider_ID,VARCHAR2,,15,91552,411,425,,,,,VARCHAR2,,
1263,1,15,Provider_Name,VARCHAR2,,75,91553,426,500,,,,,VARCHAR2,,
1263,1,16,Prov_Spec_Code,VARCHAR2,,15,91554,501,515,,,,,VARCHAR2,,
1263,1,17,Prov_Spec_Desc,VARCHAR2,,55,91555,516,570,,,,,VARCHAR2,,
1263,1,18,POS_Code,VARCHAR2,,15,91556,571,585,,,,,VARCHAR2,,
1263,1,19,POS_Desc,VARCHAR2,,55,91557,586,640,,,,,VARCHAR2,,
1263,1,20,Procedure_Code,VARCHAR2,,15,91558,641,655,,,,,VARCHAR2,,
1263,1,21,Procedure_Description,VARCHAR2,,75,91559,656,730,,,,,VARCHAR2,,
1263,1,22,Mod_Code,VARCHAR2,,15,91560,731,745,,,,,VARCHAR2,,
1263,1,23,Diagnosis_Code,VARCHAR2,,15,91561,746,760,,,,,VARCHAR2,,
1263,1,24,Diagnosis_Description,VARCHAR2,,150,91562,761,910,,,,,VARCHAR2,,
1263,1,25,Service_Date,DATE,MMDDYYYY,10,91563,911,920,,,,,DATE,,
1263,1,26,Units,NUMBER,,19,91564,921,939,,,,,NUMBER,,
1263,1,27,Paid_Amt,NUMBER,,19,91565,940,958,,,,,NUMBER,,
1263,1,28,Incurred_Date,DATE,MMDDYYYY,10,91566,959,968,,,,,DATE,,
1263,1,29,Thru_Date,DATE,MMDDYYYY,10,91567,969,978,,,,,DATE,,
1263,1,30,Billed,NUMBER,,19,91568,979,997,,,,,NUMBER,,
1263,1,31,Copay,NUMBER,,19,91569,998,1016,,,,,NUMBER,,
1263,1,32,Deductible,NUMBER,,19,91570,1017,1035,,,,,NUMBER,,
1263,1,33,PPO_Savings,NUMBER,,19,91571,1036,1054,,,,,NUMBER,,
1263,1,34,Percentage,VARCHAR2,,10,91572,1055,1064,,,,,VARCHAR2,,
1263,1,35,Ineligible,NUMBER,,19,91573,1065,1083,,,,,NUMBER,,
1263,1,36,Exempt,VARCHAR2,,25,91574,1084,1108,,,,,VARCHAR2,,
1263,1,37,Received_Date,DATE,MMDDYYYY,10,91575,1109,1118,,,,,DATE,,
1263,1,38,Paid_Date,DATE,MMDDYYYY,10,91576,1119,1128,,,,,DATE,,
1263,1,39,Provider_TIN,VARCHAR2,,55,91577,1129,1183,,,,,VARCHAR2,,
1263,1,40,PPO_CODE,VARCHAR2,,19,91578,1184,1202,,,,,VARCHAR2,,
1263,1,41,PPO_Name,VARCHAR2,,75,91579,1203,1277,,,,,VARCHAR2,,
1263,1,42,COB_Amount,NUMBER,,19,91580,1278,1296,,,,,NUMBER,,
1263,1,43,Sf_Fi_Indicator,VARCHAR2,,25,91581,1297,1321,,,,,VARCHAR2,,
1263,1,44,HSDRAFTAMT,NUMBER,,19,91582,1322,1340,,,,,NUMBER,,
1263,1,45,HSPREVIOUS,VARCHAR2,,25,91583,1341,1365,,,,,VARCHAR2,,
1263,1,46,HSSTATUS,VARCHAR2,,25,91584,1366,1390,,,,,VARCHAR2,,
1263,1,47,UBPROC,VARCHAR2,,25,91585,1391,1415,,,,,VARCHAR2,,
1263,1,48,UBREVCODE,VARCHAR2,,25,91586,1416,1440,,,,,VARCHAR2,,
1263,1,49,UBBILLED,NUMBER,,19,91587,1441,1459,,,,,NUMBER,,
